Date,Actual,LSTM
2022-08-11,23957.529297,114.76087188720703
2022-08-12,24402.818359,114.76087188720703
2022-08-13,24424.068359,114.76087188720703
2022-08-14,24319.333984,114.76087188720703
2022-08-15,24136.972656,114.76087188720703
2022-08-16,23883.291016,114.76087188720703
2022-08-17,23335.998047,114.76087188720703
2022-08-18,23212.738281,114.76087188720703
2022-08-19,20877.552734,114.76087188720703
2022-08-20,21166.060547,114.76087188720703
2022-08-21,21534.121094,114.76087188720703
2022-08-22,21398.908203,114.76087188720703
2022-08-23,21528.087891,114.76087188720703
2022-08-24,21395.019531,114.76087188720703
2022-08-25,21600.904297,114.76087188720703
2022-08-26,20260.019531,114.76087188720703
2022-08-27,20041.738281,114.76087188720703
2022-08-28,19616.814453,114.76087188720703
2022-08-29,20297.994141,114.76087188720703
2022-08-30,19796.808594,114.76087188720703
2022-08-31,20049.763672,114.76087188720703
2022-09-01,20127.140625,114.76087188720703
2022-09-02,19969.771484,114.76087188720703
2022-09-03,19832.087891,114.76087188720703
2022-09-04,19986.712891,114.76087188720703
2022-09-05,19812.371094,114.76087188720703
2022-09-06,18837.667969,114.76087188720703
2022-09-07,19290.324219,114.76087188720703
2022-09-08,19329.833984,114.76087188720703
2022-09-09,21381.152344,114.76087188720703
2022-09-10,21680.539063,114.76087951660156
2022-09-11,21769.255859,114.76087951660156
2022-09-12,22370.449219,114.76087188720703
2022-09-13,20296.707031,114.76087188720703
2022-09-14,20241.089844,114.76087188720703
2022-09-15,19701.210938,114.76087188720703
2022-09-16,19772.583984,114.76087188720703
2022-09-17,20127.576172,114.76087188720703
2022-09-18,19419.505859,114.76087188720703
2022-09-19,19544.128906,114.76087188720703
2022-09-20,18890.789063,114.76087188720703
2022-09-21,18547.400391,114.76087188720703
2022-09-22,19413.550781,114.76087188720703
2022-09-23,19297.638672,114.76087188720703
2022-09-24,18937.011719,114.76087188720703
2022-09-25,18802.097656,114.76087188720703
2022-09-26,19222.671875,114.76087188720703
2022-09-27,19110.546875,114.76087188720703
2022-09-28,19426.720703,114.76087188720703
2022-09-29,19573.050781,114.76087188720703
2022-09-30,19431.789063,114.76087188720703
2022-10-01,19312.095703,114.76087188720703
2022-10-02,19044.107422,114.76087188720703
2022-10-03,19623.580078,114.76087188720703
2022-10-04,20336.84375,114.76087188720703
2022-10-05,20160.716797,114.76087188720703
2022-10-06,19955.443359,114.76087188720703
2022-10-07,19546.849609,114.76087188720703
2022-10-08,19416.568359,114.76087188720703
2022-10-09,19446.425781,114.76087188720703
2022-10-10,19141.484375,114.76087188720703
2022-10-11,19051.417969,114.76087188720703
2022-10-12,19157.445313,114.76087951660156
2022-10-13,19382.904297,114.76087951660156
2022-10-14,19185.65625,114.76087188720703
2022-10-15,19067.634766,114.76087188720703
2022-10-16,19268.09375,114.76087188720703
2022-10-17,19550.757813,114.76087188720703
2022-10-18,19334.416016,114.76087188720703
2022-10-19,19139.535156,114.76087188720703
2022-10-20,19053.740234,114.76087188720703
2022-10-21,19172.46875,114.76087188720703
2022-10-22,19208.189453,114.76087188720703
2022-10-23,19567.007813,114.76087188720703
2022-10-24,19345.572266,114.76087188720703
2022-10-25,20095.857422,114.76087188720703
2022-10-26,20770.441406,114.76087188720703
2022-10-27,20285.835938,114.76087188720703
2022-10-28,20595.351563,114.76087188720703
2022-10-29,20818.476563,114.76087188720703
2022-10-30,20635.603516,114.76087188720703
2022-10-31,20495.773438,114.76087188720703
2022-11-01,20485.273438,114.76087188720703
2022-11-02,20159.503906,114.76087188720703
2022-11-03,20209.988281,114.76087188720703
2022-11-04,21147.230469,114.76087188720703
2022-11-05,21282.691406,114.76087188720703
2022-11-06,20926.486328,114.76087188720703
2022-11-07,20602.816406,114.76087188720703
2022-11-08,18541.271484,114.76087188720703
2022-11-09,15880.780273,114.76087188720703
2022-11-10,17586.771484,114.76087188720703
2022-11-11,17034.292969,114.76087188720703
2022-11-12,16799.185547,114.76087188720703
2022-11-13,16353.365234,114.76087951660156
2022-11-14,16618.199219,114.76087951660156
2022-11-15,16884.613281,114.76087188720703
2022-11-16,16669.439453,114.76087188720703
2022-11-17,16687.517578,114.76087188720703
2022-11-18,16697.777344,114.76087188720703
2022-11-19,16711.546875,114.76087188720703
2022-11-20,16291.832031,114.76087188720703
